datetime,SOL/USD,BTC/USD
2025-02-19 00:00:00,165.37,95235.08
2025-02-19 00:15:00,165.58,95082.17
2025-02-19 00:30:00,166.51,95276.49
2025-02-19 00:45:00,167.02,95252.74
2025-02-19 01:00:00,167.3,95326.83
2025-02-19 01:15:00,167.11,95356.24
2025-02-19 01:30:00,166.66,95335.63
2025-02-19 01:45:00,167.9,95585.35
2025-02-19 02:00:00,168.89,95703.25
2025-02-19 02:15:00,168.75,95623.44
2025-02-19 02:30:00,169.27,95695.49
2025-02-19 02:45:00,168.89,95643.59
2025-02-19 03:00:00,169.38,95711.32
2025-02-19 03:15:00,169.77,95794.32
2025-02-19 03:30:00,169.53,95732.86
2025-02-19 03:45:00,168.68,95613.36
2025-02-19 04:00:00,169.52,95733.74
2025-02-19 04:15:00,169.39,95771.52
2025-02-19 04:30:00,169.89,95860.01
2025-02-19 04:45:00,170.75,95917.08
2025-02-19 05:00:00,171.61,96359.31
2025-02-19 05:15:00,171.85,96292.19
2025-02-19 05:30:00,171.45,96234.71
2025-02-19 05:45:00,172.02,96307.0
2025-02-19 06:00:00,173.18,96363.25
2025-02-19 06:15:00,173.63,96244.51
2025-02-19 06:30:00,173.32,96249.62
2025-02-19 06:45:00,173.87,96408.32
2025-02-19 07:00:00,172.91,96375.95
2025-02-19 07:15:00,173.46,96413.82
2025-02-19 07:30:00,172.86,96270.0
2025-02-19 07:45:00,171.62,96139.68
2025-02-19 08:00:00,171.88,96167.99
2025-02-19 08:15:00,171.93,96227.5
2025-02-19 08:30:00,171.0,96365.79
2025-02-19 08:45:00,171.57,96275.05
2025-02-19 09:00:00,170.63,96162.01
2025-02-19 09:15:00,170.98,96370.04
2025-02-19 09:30:00,169.37,95991.22
2025-02-19 09:45:00,168.61,95745.23
2025-02-19 10:00:00,168.52,95751.56
2025-02-19 10:15:00,169.61,95976.29
2025-02-19 10:30:00,170.78,96262.78
2025-02-19 10:45:00,169.72,95919.78
2025-02-19 11:00:00,170.01,96180.48
2025-02-19 11:15:00,171.11,96301.62
2025-02-19 11:30:00,171.05,96193.17
2025-02-19 11:45:00,171.52,96291.3
2025-02-19 12:00:00,171.88,96218.26
2025-02-19 12:15:00,171.76,96205.52
2025-02-19 12:30:00,171.33,96430.45
2025-02-19 12:45:00,170.83,96376.99
2025-02-19 13:00:00,170.12,95904.36
